segment_id,event_era,month,dow,missing_count,short_yield_bin,long_yield_bin,spread_bin,short_chg1_bin,short_chg5_bin,long_chg1_bin,long_chg5_bin,spread_chg1_bin,spread_chg5_bin,short_std20_bin,spread_std20_bin,slice_high_rate_vol,target_bear_steepen_shock_10d,row_id
80862372742404863,0,1,1,8,11,11,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
80862372742404863,0,1,2,5,11,11,1,11,-1,10,-1,2,-1,-1,-1,0,0,1
80862372742404863,0,1,3,5,11,11,1,3,-1,5,-1,8,-1,-1,-1,0,0,2
80862372742404863,0,1,4,5,11,11,1,3,-1,7,-1,9,-1,-1,-1,0,0,3
80862372742404863,0,1,0,5,11,11,1,6,-1,8,-1,9,-1,-1,-1,0,0,4
80862372742404863,0,1,1,2,11,11,1,7,8,6,8,4,8,-1,-1,0,0,5
80862372742404863,0,1,2,2,11,11,1,6,4,7,7,7,10,-1,-1,0,0,6
80862372742404863,0,1,3,2,11,11,1,6,5,7,8,7,10,-1,-1,0,0,7
80862372742404863,0,1,4,2,11,11,1,8,7,10,9,10,10,-1,-1,0,0,8
80862372742404863,0,1,1,0,11,11,1,11,11,11,11,0,4,5,4,0,1,9
80862372742404863,0,1,2,0,11,11,1,5,11,5,11,6,5,6,4,0,0,10
80862372742404863,0,1,3,0,11,11,1,11,11,11,11,2,2,9,4,1,0,11
80862372742404863,0,1,4,0,11,11,1,1,11,1,11,4,1,10,4,1,0,12
80862372742404863,0,1,0,0,11,11,1,3,11,7,11,9,1,10,3,1,0,13
80862372742404863,0,1,1,0,11,11,1,6,9,5,8,4,4,10,3,1,0,14
80862372742404863,0,1,2,0,11,11,2,8,10,11,11,11,10,10,4,1,0,15
80862372742404863,0,1,3,0,11,11,1,10,5,9,9,5,11,10,5,1,0,16
80862372742404863,0,1,4,0,11,11,2,9,9,10,11,10,11,10,6,1,0,17
80862372742404863,0,1,0,0,11,11,2,9,10,7,11,3,11,10,6,1,0,18
80862372742404863,0,1,1,0,11,11,2,6,10,7,11,7,11,11,6,1,0,19
80862372742404863,0,1,2,0,11,11,1,3,9,0,7,0,3,10,6,1,0,20
80862372742404863,0,2,3,0,11,11,1,6,8,5,6,4,3,11,6,1,0,21
80862372742404863,0,2,4,0,11,11,1,11,10,11,6,4,1,11,6,1,0,22
80862372742404863,0,2,0,0,11,11,1,6,9,8,7,9,3,11,5,1,0,23
80862372742404863,0,2,1,0,11,11,1,10,10,9,8,4,2,10,5,1,0,24
80862372742404863,0,2,2,0,11,11,1,6,11,1,9,0,2,10,6,1,0,25
80862372742404863,0,2,3,0,11,11,1,1,10,3,8,9,4,10,6,1,0,26
80862372742404863,0,2,4,0,11,11,1,0,1,0,0,0,1,9,6,1,0,27
80862372742404863,0,2,0,0,11,11,1,11,3,11,1,9,1,8,6,0,0,28
80862372742404863,0,2,1,0,11,11,1,0,0,1,0,11,4,7,6,0,0,29
80862372742404863,0,2,2,0,11,11,1,10,1,7,1,1,5,6,6,0,0,30
80862372742404863,0,2,3,0,11,11,1,11,5,10,3,4,2,6,6,0,0,31
80862372742404863,0,2,4,0,11,11,1,7,10,5,9,3,6,6,6,0,0,32
80862372742404863,0,2,1,0,11,11,1,11,11,11,11,10,7,7,6,0,0,33
80862372742404863,0,2,2,0,11,11,1,3,11,6,11,9,4,7,6,0,0,34
80862372742404863,0,2,3,0,11,11,1,1,11,0,11,2,6,7,6,0,0,35
80862372742404863,0,2,4,0,11,11,1,3,9,5,9,7,7,7,5,0,0,36
80862372742404863,0,2,0,0,11,11,1,1,7,1,7,3,7,6,5,0,0,37
80862372742404863,0,2,1,0,11,11,1,1,0,1,0,4,4,6,4,0,0,38
80862372742404863,0,2,2,0,11,11,1,11,2,11,2,7,3,6,3,0,0,39
80862372742404863,0,3,3,0,11,11,1,11,9,11,8,3,4,7,3,0,0,40
80862372742404863,0,3,4,0,11,11,1,1,9,1,6,5,2,7,3,0,0,41
80862372742404863,0,3,0,0,11,11,1,11,11,11,11,10,7,7,3,0,0,42
80862372742404863,0,3,1,0,11,11,1,3,11,1,11,1,4,8,2,0,0,43
80862372742404863,0,3,2,0,11,11,1,6,10,5,8,4,3,8,2,0,0,44
80862372742404863,0,3,3,0,11,11,0,10,9,5,5,0,1,9,4,1,0,45
80862372742404863,0,3,4,0,11,11,0,11,11,11,10,0,0,10,6,1,0,46
80862372742404863,0,3,0,0,11,11,0,3,11,4,5,6,0,10,7,1,0,47
80862372742404863,0,3,1,0,11,11,0,10,11,11,10,10,1,10,7,1,0,48
80862372742404863,0,3,2,0,11,11,0,0,11,0,8,6,1,10,7,1,0,49
80862372742404863,0,3,3,0,11,11,0,9,10,7,9,3,3,10,8,1,0,50
80862372742404863,0,3,4,0,11,11,0,0,2,1,3,6,8,10,8,1,0,51
80862372742404863,0,3,0,0,11,11,0,9,3,6,4,1,5,9,8,1,0,52
80862372742404863,0,3,1,0,11,11,0,6,2,1,0,0,0,10,9,1,0,53
80862372742404863,0,3,2,0,11,11,0,7,6,7,2,7,1,10,9,1,0,54
80862372742404863,0,3,3,0,11,11,0,0,2,3,1,10,3,9,9,1,0,55
80862372742404863,0,3,4,0,11,11,0,5,3,5,3,6,3,9,9,1,0,56
80862372742404863,0,3,0,0,11,11,0,6,2,5,3,4,5,9,9,1,0,57
80862372742404863,0,3,1,0,11,11,0,3,2,7,5,9,10,7,8,0,0,58
80862372742404863,0,3,2,0,11,11,0,3,1,5,4,7,10,6,8,0,0,59
80862372742404863,0,3,3,0,11,11,0,10,6,11,8,10,10,6,8,0,0,60
80862372742404863,0,3,4,0,11,11,0,9,8,10,10,9,10,5,7,0,0,61
80862372742404863,0,4,0,0,11,11,0,3,6,6,10,9,11,5,7,0,0,62
